facility_id,facility_name,facility_type,ownership,district,city,beds_total,beds_available,icu_beds,ambulance_count,pharmacy_available
FAC0283,Dhule Regional Health Centre,PHC,Private,Dhule,Dhule,39,7,2,2,No
FAC0284,Phaltan Central Medical Centre,Hospital,Private,Satara,Phaltan,215,161,23,7,Yes
FAC0285,Pune Rural Clinic,Hospital,Private,Pune,Pune,370,100,34,2,No
FAC0286,Ichalkaranji Community Hospital,PHC,Private,Kolhapur,Ichalkaranji,18,6,2,2,No
FAC0287,Pandharpur Civil Polyclinic,CHC,Government,Solapur,Pandharpur,36,17,5,3,Yes
FAC0288,Borivali District Hospital,Clinic,Government,Mumbai,Borivali,23,18,0,0,Yes
FAC0289,Sindkhede Civil Hospital,CHC,Private,Dhule,Sindkhede,46,18,5,1,Yes
FAC0290,Niphad Rural Hospital,Clinic,Private,Nashik,Niphad,29,22,0,0,No
FAC0291,Udgir Central Health Centre,PHC,Government,Latur,Udgir,38,12,1,1,No
FAC0292,Ahmednagar General Health Centre,Clinic,Government,Ahmednagar,Ahmednagar,23,13,0,1,No
FAC0293,Katol Community Health Centre,Clinic,Private,Nagpur,Katol,24,24,0,1,Yes
FAC0294,Amalner Primary Clinic,PHC,Government,Jalgaon,Amalner,28,27,2,1,No
FAC0295,Deoni Rural Clinic,PHC,Government,Latur,Deoni,14,6,2,1,No
FAC0296,Mohol Civil Hospital,Hospital,Private,Solapur,Mohol,399,76,16,9,Yes
FAC0297,Baramati Regional Polyclinic,Clinic,Government,Pune,Baramati,21,18,0,1,No
FAC0298,Khanapur Primary Health Centre,PHC,Private,Sangli,Khanapur,19,10,1,1,Yes
FAC0299,Latur Primary Hospital,PHC,Government,Latur,Latur,29,25,2,2,No
FAC0300,Dadar Rural Hospital,Clinic,Private,Mumbai,Dadar,24,11,0,0,Yes
